name	type	units	sampling_frequency
SCLK01	SYSCLOCK	s	1200
BG1	MEGREFMAG	T	1200
BG2	MEGREFMAG	T	1200
BG3	MEGREFMAG	T	1200
BP1	MEGREFMAG	T	1200
BP2	MEGREFMAG	T	1200
BP3	MEGREFMAG	T	1200
BR1	MEGREFMAG	T	1200
BR2	MEGREFMAG	T	1200
BR3	MEGREFMAG	T	1200
G11	MEGREFGRADAXIAL	T	1200
G12	MEGREFGRADAXIAL	T	1200
G13	MEGREFGRADAXIAL	T	1200
G22	MEGREFGRADAXIAL	T	1200
G23	MEGREFGRADAXIAL	T	1200
P11	MEGREFGRADAXIAL	T	1200
P12	MEGREFGRADAXIAL	T	1200
P22	MEGREFGRADAXIAL	T	1200
P23	MEGREFGRADAXIAL	T	1200
Q11	MEGREFGRADAXIAL	T	1200
Q12	MEGREFGRADAXIAL	T	1200
Q13	MEGREFGRADAXIAL	T	1200
Q22	MEGREFGRADAXIAL	T	1200
Q23	MEGREFGRADAXIAL	T	1200
R11	MEGREFGRADAXIAL	T	1200
R12	MEGREFGRADAXIAL	T	1200
R13	MEGREFGRADAXIAL	T	1200
R22	MEGREFGRADAXIAL	T	1200
R23	MEGREFGRADAXIAL	T	1200
MLC11	MEGGRADAXIAL	T	1200
MLC12	MEGGRADAXIAL	T	1200
MLC13	MEGGRADAXIAL	T	1200
MLC14	MEGGRADAXIAL	T	1200
MLC15	MEGGRADAXIAL	T	1200
MLC16	MEGGRADAXIAL	T	1200
MLC17	MEGGRADAXIAL	T	1200
MLC21	MEGGRADAXIAL	T	1200
MLC22	MEGGRADAXIAL	T	1200
MLC23	MEGGRADAXIAL	T	1200
MLC24	MEGGRADAXIAL	T	1200
MLC25	MEGGRADAXIAL	T	1200
MLC31	MEGGRADAXIAL	T	1200
MLC32	MEGGRADAXIAL	T	1200
MLC41	MEGGRADAXIAL	T	1200
MLC42	MEGGRADAXIAL	T	1200
MLC51	MEGGRADAXIAL	T	1200
MLC52	MEGGRADAXIAL	T	1200
MLC53	MEGGRADAXIAL	T	1200
MLC54	MEGGRADAXIAL	T	1200
MLC55	MEGGRADAXIAL	T	1200
MLC61	MEGGRADAXIAL	T	1200
MLC62	MEGGRADAXIAL	T	1200
MLC63	MEGGRADAXIAL	T	1200
MLF11	MEGGRADAXIAL	T	1200
MLF12	MEGGRADAXIAL	T	1200
MLF13	MEGGRADAXIAL	T	1200
MLF14	MEGGRADAXIAL	T	1200
MLF21	MEGGRADAXIAL	T	1200
MLF22	MEGGRADAXIAL	T	1200
MLF23	MEGGRADAXIAL	T	1200
MLF24	MEGGRADAXIAL	T	1200
MLF31	MEGGRADAXIAL	T	1200
MLF32	MEGGRADAXIAL	T	1200
MLF33	MEGGRADAXIAL	T	1200
MLF34	MEGGRADAXIAL	T	1200
MLF35	MEGGRADAXIAL	T	1200
MLF41	MEGGRADAXIAL	T	1200
MLF42	MEGGRADAXIAL	T	1200
MLF43	MEGGRADAXIAL	T	1200
MLF44	MEGGRADAXIAL	T	1200
MLF45	MEGGRADAXIAL	T	1200
MLF46	MEGGRADAXIAL	T	1200
MLF51	MEGGRADAXIAL	T	1200
MLF52	MEGGRADAXIAL	T	1200
MLF53	MEGGRADAXIAL	T	1200
MLF54	MEGGRADAXIAL	T	1200
MLF55	MEGGRADAXIAL	T	1200
MLF56	MEGGRADAXIAL	T	1200
MLF61	MEGGRADAXIAL	T	1200
MLF62	MEGGRADAXIAL	T	1200
MLF63	MEGGRADAXIAL	T	1200
MLF64	MEGGRADAXIAL	T	1200
MLF65	MEGGRADAXIAL	T	1200
MLF66	MEGGRADAXIAL	T	1200
MLF67	MEGGRADAXIAL	T	1200
MLO11	MEGGRADAXIAL	T	1200
MLO12	MEGGRADAXIAL	T	1200
MLO13	MEGGRADAXIAL	T	1200
MLO14	MEGGRADAXIAL	T	1200
MLO21	MEGGRADAXIAL	T	1200
MLO22	MEGGRADAXIAL	T	1200
MLO23	MEGGRADAXIAL	T	1200
MLO24	MEGGRADAXIAL	T	1200
MLO31	MEGGRADAXIAL	T	1200
MLO32	MEGGRADAXIAL	T	1200
MLO33	MEGGRADAXIAL	T	1200
MLO34	MEGGRADAXIAL	T	1200
MLO41	MEGGRADAXIAL	T	1200
MLO42	MEGGRADAXIAL	T	1200
MLO43	MEGGRADAXIAL	T	1200
MLO44	MEGGRADAXIAL	T	1200
MLO51	MEGGRADAXIAL	T	1200
MLO52	MEGGRADAXIAL	T	1200
MLO53	MEGGRADAXIAL	T	1200
MLP11	MEGGRADAXIAL	T	1200
MLP12	MEGGRADAXIAL	T	1200
MLP21	MEGGRADAXIAL	T	1200
MLP22	MEGGRADAXIAL	T	1200
MLP23	MEGGRADAXIAL	T	1200
MLP31	MEGGRADAXIAL	T	1200
MLP32	MEGGRADAXIAL	T	1200
MLP33	MEGGRADAXIAL	T	1200
MLP34	MEGGRADAXIAL	T	1200
MLP35	MEGGRADAXIAL	T	1200
MLP41	MEGGRADAXIAL	T	1200
MLP42	MEGGRADAXIAL	T	1200
MLP43	MEGGRADAXIAL	T	1200
MLP44	MEGGRADAXIAL	T	1200
MLP45	MEGGRADAXIAL	T	1200
MLP51	MEGGRADAXIAL	T	1200
MLP52	MEGGRADAXIAL	T	1200
MLP53	MEGGRADAXIAL	T	1200
MLP54	MEGGRADAXIAL	T	1200
MLP55	MEGGRADAXIAL	T	1200
MLP56	MEGGRADAXIAL	T	1200
MLP57	MEGGRADAXIAL	T	1200
MLT11	MEGGRADAXIAL	T	1200
MLT12	MEGGRADAXIAL	T	1200
MLT13	MEGGRADAXIAL	T	1200
MLT14	MEGGRADAXIAL	T	1200
MLT15	MEGGRADAXIAL	T	1200
MLT16	MEGGRADAXIAL	T	1200
MLT21	MEGGRADAXIAL	T	1200
MLT22	MEGGRADAXIAL	T	1200
MLT23	MEGGRADAXIAL	T	1200
MLT24	MEGGRADAXIAL	T	1200
MLT25	MEGGRADAXIAL	T	1200
MLT26	MEGGRADAXIAL	T	1200
MLT27	MEGGRADAXIAL	T	1200
MLT31	MEGGRADAXIAL	T	1200
MLT32	MEGGRADAXIAL	T	1200
MLT33	MEGGRADAXIAL	T	1200
MLT34	MEGGRADAXIAL	T	1200
MLT35	MEGGRADAXIAL	T	1200
MLT36	MEGGRADAXIAL	T	1200
MLT37	MEGGRADAXIAL	T	1200
MLT41	MEGGRADAXIAL	T	1200
MLT42	MEGGRADAXIAL	T	1200
MLT43	MEGGRADAXIAL	T	1200
MLT44	MEGGRADAXIAL	T	1200
MLT45	MEGGRADAXIAL	T	1200
MLT46	MEGGRADAXIAL	T	1200
MLT47	MEGGRADAXIAL	T	1200
MLT51	MEGGRADAXIAL	T	1200
MLT52	MEGGRADAXIAL	T	1200
MLT53	MEGGRADAXIAL	T	1200
MLT54	MEGGRADAXIAL	T	1200
MLT55	MEGGRADAXIAL	T	1200
MLT56	MEGGRADAXIAL	T	1200
MLT57	MEGGRADAXIAL	T	1200
MRC11	MEGGRADAXIAL	T	1200
MRC12	MEGGRADAXIAL	T	1200
MRC13	MEGGRADAXIAL	T	1200
MRC14	MEGGRADAXIAL	T	1200
MRC15	MEGGRADAXIAL	T	1200
MRC16	MEGGRADAXIAL	T	1200
MRC17	MEGGRADAXIAL	T	1200
MRC21	MEGGRADAXIAL	T	1200
MRC22	MEGGRADAXIAL	T	1200
MRC23	MEGGRADAXIAL	T	1200
MRC24	MEGGRADAXIAL	T	1200
MRC25	MEGGRADAXIAL	T	1200
MRC31	MEGGRADAXIAL	T	1200
MRC32	MEGGRADAXIAL	T	1200
MRC41	MEGGRADAXIAL	T	1200
MRC42	MEGGRADAXIAL	T	1200
MRC51	MEGGRADAXIAL	T	1200
MRC52	MEGGRADAXIAL	T	1200
MRC53	MEGGRADAXIAL	T	1200
MRC54	MEGGRADAXIAL	T	1200
MRC55	MEGGRADAXIAL	T	1200
MRC61	MEGGRADAXIAL	T	1200
MRC62	MEGGRADAXIAL	T	1200
MRC63	MEGGRADAXIAL	T	1200
MRF11	MEGGRADAXIAL	T	1200
MRF12	MEGGRADAXIAL	T	1200
MRF13	MEGGRADAXIAL	T	1200
MRF14	MEGGRADAXIAL	T	1200
MRF21	MEGGRADAXIAL	T	1200
MRF22	MEGGRADAXIAL	T	1200
MRF23	MEGGRADAXIAL	T	1200
MRF24	MEGGRADAXIAL	T	1200
MRF25	MEGGRADAXIAL	T	1200
MRF31	MEGGRADAXIAL	T	1200
MRF32	MEGGRADAXIAL	T	1200
MRF33	MEGGRADAXIAL	T	1200
MRF34	MEGGRADAXIAL	T	1200
MRF35	MEGGRADAXIAL	T	1200
MRF41	MEGGRADAXIAL	T	1200
MRF42	MEGGRADAXIAL	T	1200
MRF44	MEGGRADAXIAL	T	1200
MRF45	MEGGRADAXIAL	T	1200
MRF46	MEGGRADAXIAL	T	1200
MRF51	MEGGRADAXIAL	T	1200
MRF52	MEGGRADAXIAL	T	1200
MRF53	MEGGRADAXIAL	T	1200
MRF54	MEGGRADAXIAL	T	1200
MRF55	MEGGRADAXIAL	T	1200
MRF56	MEGGRADAXIAL	T	1200
MRF61	MEGGRADAXIAL	T	1200
MRF62	MEGGRADAXIAL	T	1200
MRF63	MEGGRADAXIAL	T	1200
MRF64	MEGGRADAXIAL	T	1200
MRF65	MEGGRADAXIAL	T	1200
MRF66	MEGGRADAXIAL	T	1200
MRF67	MEGGRADAXIAL	T	1200
MRO11	MEGGRADAXIAL	T	1200
MRO12	MEGGRADAXIAL	T	1200
MRO14	MEGGRADAXIAL	T	1200
MRO21	MEGGRADAXIAL	T	1200
MRO22	MEGGRADAXIAL	T	1200
MRO23	MEGGRADAXIAL	T	1200
MRO24	MEGGRADAXIAL	T	1200
MRO31	MEGGRADAXIAL	T	1200
MRO32	MEGGRADAXIAL	T	1200
MRO33	MEGGRADAXIAL	T	1200
MRO34	MEGGRADAXIAL	T	1200
MRO41	MEGGRADAXIAL	T	1200
MRO42	MEGGRADAXIAL	T	1200
MRO43	MEGGRADAXIAL	T	1200
MRO44	MEGGRADAXIAL	T	1200
MRO51	MEGGRADAXIAL	T	1200
MRO52	MEGGRADAXIAL	T	1200
MRO53	MEGGRADAXIAL	T	1200
MRP11	MEGGRADAXIAL	T	1200
MRP12	MEGGRADAXIAL	T	1200
MRP21	MEGGRADAXIAL	T	1200
MRP22	MEGGRADAXIAL	T	1200
MRP23	MEGGRADAXIAL	T	1200
MRP31	MEGGRADAXIAL	T	1200
MRP32	MEGGRADAXIAL	T	1200
MRP33	MEGGRADAXIAL	T	1200
MRP34	MEGGRADAXIAL	T	1200
MRP35	MEGGRADAXIAL	T	1200
MRP41	MEGGRADAXIAL	T	1200
MRP42	MEGGRADAXIAL	T	1200
MRP43	MEGGRADAXIAL	T	1200
MRP44	MEGGRADAXIAL	T	1200
MRP45	MEGGRADAXIAL	T	1200
MRP51	MEGGRADAXIAL	T	1200
MRP52	MEGGRADAXIAL	T	1200
MRP53	MEGGRADAXIAL	T	1200
MRP54	MEGGRADAXIAL	T	1200
MRP55	MEGGRADAXIAL	T	1200
MRP56	MEGGRADAXIAL	T	1200
MRP57	MEGGRADAXIAL	T	1200
MRT11	MEGGRADAXIAL	T	1200
MRT12	MEGGRADAXIAL	T	1200
MRT13	MEGGRADAXIAL	T	1200
MRT14	MEGGRADAXIAL	T	1200
MRT15	MEGGRADAXIAL	T	1200
MRT16	MEGGRADAXIAL	T	1200
MRT21	MEGGRADAXIAL	T	1200
MRT22	MEGGRADAXIAL	T	1200
MRT23	MEGGRADAXIAL	T	1200
MRT24	MEGGRADAXIAL	T	1200
MRT25	MEGGRADAXIAL	T	1200
MRT26	MEGGRADAXIAL	T	1200
MRT27	MEGGRADAXIAL	T	1200
MRT31	MEGGRADAXIAL	T	1200
MRT32	MEGGRADAXIAL	T	1200
MRT33	MEGGRADAXIAL	T	1200
MRT34	MEGGRADAXIAL	T	1200
MRT35	MEGGRADAXIAL	T	1200
MRT36	MEGGRADAXIAL	T	1200
MRT37	MEGGRADAXIAL	T	1200
MRT41	MEGGRADAXIAL	T	1200
MRT42	MEGGRADAXIAL	T	1200
MRT43	MEGGRADAXIAL	T	1200
MRT44	MEGGRADAXIAL	T	1200
MRT45	MEGGRADAXIAL	T	1200
MRT46	MEGGRADAXIAL	T	1200
MRT47	MEGGRADAXIAL	T	1200
MRT51	MEGGRADAXIAL	T	1200
MRT52	MEGGRADAXIAL	T	1200
MRT53	MEGGRADAXIAL	T	1200
MRT54	MEGGRADAXIAL	T	1200
MRT55	MEGGRADAXIAL	T	1200
MRT56	MEGGRADAXIAL	T	1200
MRT57	MEGGRADAXIAL	T	1200
MZC01	MEGGRADAXIAL	T	1200
MZC02	MEGGRADAXIAL	T	1200
MZC03	MEGGRADAXIAL	T	1200
MZC04	MEGGRADAXIAL	T	1200
MZF01	MEGGRADAXIAL	T	1200
MZF02	MEGGRADAXIAL	T	1200
MZF03	MEGGRADAXIAL	T	1200
MZO01	MEGGRADAXIAL	T	1200
MZO02	MEGGRADAXIAL	T	1200
MZO03	MEGGRADAXIAL	T	1200
MZP01	MEGGRADAXIAL	T	1200
HADC001	MISC	unknown	1200
HADC002	MISC	unknown	1200
HADC003	MISC	unknown	1200
HDAC001	MISC	unknown	1200
HDAC002	MISC	unknown	1200
HDAC003	MISC	unknown	1200
UADC005	ADC	unknown	1200
UADC006	ADC	unknown	1200
UADC007	ADC	unknown	1200
UADC009	ADC	unknown	1200
UADC010	ADC	unknown	1200
UADC013	ADC	unknown	1200
UADC016	ADC	unknown	1200
HLC0011	HLU	unknown	1200
HLC0012	HLU	unknown	1200
HLC0013	HLU	unknown	1200
HLC0021	HLU	unknown	1200
HLC0022	HLU	unknown	1200
HLC0023	HLU	unknown	1200
HLC0031	HLU	unknown	1200
HLC0032	HLU	unknown	1200
HLC0033	HLU	unknown	1200
HLC0018	FITERR	unknown	1200
HLC0028	FITERR	unknown	1200
HLC0038	FITERR	unknown	1200
HLC0014	OTHER	unknown	1200
HLC0015	OTHER	unknown	1200
HLC0016	OTHER	unknown	1200
HLC0017	OTHER	unknown	1200
HLC0024	OTHER	unknown	1200
HLC0025	OTHER	unknown	1200
HLC0026	OTHER	unknown	1200
HLC0027	OTHER	unknown	1200
HLC0034	OTHER	unknown	1200
HLC0035	OTHER	unknown	1200
HLC0036	OTHER	unknown	1200
HLC0037	OTHER	unknown	1200
